p,h_avg,h_max,n_avg,n_max,t_avg,t_max,singleton_ratio,nonsingletonClasses
1201,21.285595337218986,100,23.206494587843462,122,2.225130890052356,5,0.6461282264779351,191
1229,21.55899104963385,110,21.84052074857608,113,2.2714285714285714,4,0.611879576891782,210
1237,21.9482619240097,114,22.860145513338722,108,2.186868686868687,4,0.6499595796281326,198
1249,22.53002401921537,116,21.806244995996796,114,2.267326732673267,5,0.633306645316253,202
1231,22.498781478472786,104,22.39723801787165,106,2.2339449541284404,5,0.6043866774979691,218
1277,22.449490994518403,95,20.809710258418168,103,2.2711111111111113,5,0.5998433829287392,225
1259,21.567116759332805,96,21.961080222398728,110,2.263888888888889,5,0.6115965051628276,216
1283,22.36477007014809,117,22.71473109898675,106,2.293838862559242,5,0.622759158222915,211
1279,21.945269741985925,108,22.175136825645033,108,2.2476190476190476,5,0.6309616888193902,210
1289,21.672614429790535,111,22.92164468580295,109,2.271493212669683,4,0.6105508145849495,221
1291,22.27730441518203,105,22.116189000774593,122,2.2376681614349776,5,0.6134779240898528,223
1303,23.416730621642365,107,22.827321565617805,109,2.1619047619047618,5,0.6515732924021489,210
1301,23.039200614911607,120,22.583397386625673,102,2.18859649122807,6,0.6164488854727133,228
1297,23.292212798766386,98,22.579799537393985,112,2.2651162790697676,6,0.6245181187355435,215
1307,23.526396327467484,109,22.434583014537107,122,2.2130434782608694,4,0.6105585309869931,230
1321,22.19000757002271,98,23.419379258137774,110,2.2427184466019416,6,0.6502649507948524,206
1319,23.2827899924185,114,21.90978013646702,117,2.231404958677686,4,0.5905989385898408,242
1361,23.27700220426157,108,22.966936076414402,116,2.314159292035398,6,0.6157237325495959,226
1327,22.782215523737754,110,22.984174830444612,106,2.2358078602620086,5,0.6141672946495855,229
1399,23.37455325232309,117,23.737669764117225,124,2.1983471074380163,5,0.6197283774124375,242
1381,23.414916727009413,113,23.067342505430847,119,2.282511210762332,4,0.6314265025343954,223
1367,22.22604242867593,116,24.07461594732992,111,2.217391304347826,6,0.6269202633504023,230
1373,22.922796795338673,113,23.500364166059722,109,2.1942148760330578,4,0.6132556445739257,242
1409,24.37970191625266,107,23.519517388218595,119,2.3155555555555556,5,0.6302342086586231,225
1423,24.158116654954323,108,23.632466619817286,124,2.2742616033755274,4,0.6212227687983134,237
1429,23.33659902029391,113,23.002099370188944,119,2.2552301255230125,4,0.622813156053184,239
1427,23.30553608969867,104,23.026629292221443,121,2.3013100436681224,5,0.6306937631394534,229
1439,23.223766504517027,107,24.295343988881168,113,2.2658227848101267,4,0.6268241834607367,237
1433,22.71946964410328,107,24.825540823447312,125,2.2181069958847734,4,0.6238660153524075,243
1447,23.697304768486525,143,23.843814789219074,113,2.2254098360655736,5,0.6247408431237043,244
1451,23.624396967608547,133,23.404548587181253,124,2.260330578512397,7,0.6230186078566505,242
1481,23.845374746792707,150,24.665766374071573,118,2.231075697211155,4,0.6218771100607697,251
1459,23.96572995202193,100,23.952021932830707,107,2.2172131147540983,5,0.6291980808773132,244
1453,23.91397109428768,107,22.964900206469373,160,2.347457627118644,5,0.6187198898830006,236
1471,23.70224337185588,104,23.94425560842964,118,2.189922480620155,4,0.6159075458871516,258
1487,24.211835911230665,114,23.747814391392065,104,2.2186234817813766,5,0.6314727639542703,247
1483,24.2993931220499,114,24.287255563047875,111,2.255813953488372,5,0.6075522589345921,258
1489,24.16118200134318,114,23.54869039623909,120,2.2672064777327936,5,0.6239086635325722,247
1511,23.519523494374585,107,24.234943745863667,130,2.2379182156133828,6,0.6015883520847121,269
1493,22.923643670462155,108,24.144675150703282,123,2.3031496062992125,5,0.608171466845278,254
1499,24.951967978652434,111,24.29753168779186,115,2.225108225108225,5,0.657104736490994,231
1531,24.835401698236446,133,24.34944480731548,136,2.27734375,5,0.6192031352057479,256
1523,24.217990807616545,125,23.767564018384768,110,2.293233082706767,6,0.5994747209455022,266
1543,23.197018794556058,109,24.963707064160726,111,2.231060606060606,6,0.6182760855476345,264
1549,24.731439638476438,122,24.37120723047127,109,2.267924528301887,4,0.6120077469335055,265
1553,24.46490663232453,124,24.52801030264005,119,2.2602230483271377,4,0.6084996780424984,269
1559,24.905708787684414,102,24.918537524053882,115,2.236220472440945,5,0.63566388710712,254
1579,24.73147561747942,111,25.45598480050665,140,2.203846153846154,4,0.6371120962634579,260
1571,24.85041374920433,112,25.065563335455124,109,2.214788732394366,6,0.5996180776575429,284
1567,25.455009572431397,122,24.23356732610083,116,2.306772908366534,5,0.6305041480536057,251
1583,25.017687934301957,133,24.95198989260897,109,2.278810408921933,5,0.6127605811749842,269
1597,25.714464621164684,110,24.652473387601752,115,2.2065217391304346,5,0.6186599874765185,276
1607,25.411947728686993,181,25.6372121966397,155,2.2065217391304346,5,0.6210329807093964,276
1601,24.840724547158025,106,25.316677076826984,114,2.2281368821292777,5,0.6339787632729544,263
1609,25.095090118085768,131,25.04661280298322,112,2.213768115942029,6,0.620261031696706,276
1613,24.938003719776813,130,25.000619962802233,121,2.270758122743682,6,0.6100433973961562,277
1619,24.891290920321186,136,24.877702285361334,159,2.2464285714285714,6,0.6114885731933292,280
1621,24.83775447254781,116,25.021591610117213,119,2.2785714285714285,5,0.6064157927205429,280
1637,25.718387293830176,100,25.08185705558949,125,2.2781954887218046,5,0.6298106291997556,266
1627,25.330669944683468,139,25.164105716041796,115,2.197718631178707,6,0.6447449293177627,263
1657,26.27519613759807,153,25.174411587205793,130,2.227272727272727,5,0.6451418225709112,264
1663,25.80216476247745,129,26.019242333132894,124,2.1964912280701756,5,0.6235718580877931,285
1667,25.839832033593282,116,25.880623875224956,123,2.2964285714285713,6,0.6142771445710857,280
1669,26.690832834032356,151,24.751947273816658,133,2.2448275862068967,6,0.609946075494308,290
1693,25.892498523331366,119,25.749556999409332,134,2.202090592334495,5,0.6266981689308919,287
1697,25.97642899233942,122,26.058927519151442,147,2.216494845360825,5,0.619917501473188,291
1709,25.814511410181392,115,26.551784669397307,155,2.207612456747405,5,0.6266822703335284,289
1699,25.710417892878162,134,26.291347851677457,135,2.224199288256228,5,0.6321365509123014,281
